EU_CD Vatten	Namn Vatten	Län	Kommun(er)	Distrikt	Typindelning
SE633000-195000	Örefjärden	Västerbotten - 24	Nordmaling - 2401, Umeå - 2480	SE1	20. Norra Kvarkens inre kustvatten.
SE633710-200500	Mjölefjärden	Västerbotten - 24	Umeå - 2480	SE1	20. Norra Kvarkens inre kustvatten.
SE635040-204196	Ostnäsfjärden	Västerbotten - 24	Umeå - 2480	SE1	20. Norra Kvarkens inre kustvatten.
SE634640-203710	Ytterbodafjärden	Västerbotten - 24	Umeå - 2480	SE1	20. Norra Kvarkens inre kustvatten.
SE634200-202033	Österfjärden	Västerbotten - 24	Umeå - 2480	SE1	20. Norra Kvarkens inre kustvatten.
SE634230-201605	Västerfjärden	Västerbotten - 24	Umeå - 2480	SE1	20. Norra Kvarkens inre kustvatten.
SE634740-203020	Täftefjärden	Västerbotten - 24	Umeå - 2480	SE1	20. Norra Kvarkens inre kustvatten.
SE634950-202940	Lillfjärden	Västerbotten - 24	Umeå - 2480	SE1	20. Norra Kvarkens inre kustvatten.
SE637640-204160	Tavlefjärden	Västerbotten - 24	Umeå - 2480	SE1	20. Norra Kvarkens inre kustvatten.
SE637070-204260	Raggavaviken	Västerbotten - 24	Umeå - 2480	SE1	20. Norra Kvarkens inre kustvatten.
SE637310-204860	Yttre Täftefjärden	Västerbotten - 24	Umeå - 2480	SE1	20. Norra Kvarkens inre kustvatten.
SE636570-203590	Fjärdgrundsområdet sek namn	Västerbotten - 24	Umeå - 2480	SE1	20. Norra Kvarkens inre kustvatten.
SE636910-204040	Österlångslädan	Västerbotten - 24	Umeå - 2480	SE1	20. Norra Kvarkens inre kustvatten.
SE636150-199220	Megrundsområdet	Västerbotten - 24	Umeå - 2480	SE1	20. Norra Kvarkens inre kustvatten.
SE635660-199490	Hörnefors området sek namn	Västerbotten - 24	Umeå - 2480	SE1	20. Norra Kvarkens inre kustvatten.
SE633550-200700	S n Kvarkens kustvatten	Västerbotten - 24	Nordmaling - 2401, Umeå - 2480	SE1	21. Norra Kvarkens yttre kustvatten.
SE635300-205251	N n Kvarkens kustvatten	Västerbotten - 24	Robertsfors - 2409, Umeå - 2480	SE1	21. Norra Kvarkens yttre kustvatten.
SE641250-210560	Gumbodafjärden	Västerbotten - 24	Robertsfors - 2409	SE1	22. Bottenviken, inre kustvatten.
SE641000-210500	Vändskärsfjärden	Västerbotten - 24	Robertsfors - 2409	SE1	22. Bottenviken, inre kustvatten.
SE640900-205935	Sikeåfjärden	Västerbotten - 24	Robertsfors - 2409	SE1	22. Bottenviken, inre kustvatten.
SE640400-205770	Ricklefjärden	Västerbotten - 24	Robertsfors - 2409	SE1	22. Bottenviken, inre kustvatten.
SE640240-205500	Bygdefjärden	Västerbotten - 24	Robertsfors - 2409	SE1	22. Bottenviken, inre kustvatten.
